PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Cowan, OS; Anderson, PML				Cowan, O. S.; Anderson, P. M. L.			The Peninsula Shale Renosterveld of Devil's Peak, Western Cape: A study into the vegetation and seedbank with a view toward potential restoration	SOUTH AFRICAN JOURNAL OF BOTANY																	Anderson, Pippin/0000-0003-3716-1206												0254-6299	1727-9321				NOV	2014	95						135	145		10.1016/j.sajb.2014.09.003							WOS:000347594800018						
J	Harvey, BJ; Donato, DC; Romme, WH; Turner, MG				Harvey, Brian J.; Donato, Daniel C.; Romme, William H.; Turner, Monica G.			Fire severity and tree regeneration following bark beetle outbreaks: the role of outbreak stage and burning conditions	ECOLOGICAL APPLICATIONS																Harvey, Brian/T-9513-2017; Turner, Monica G/B-2099-2010; Romme, William/C-7317-2016	Harvey, Brian/0000-0002-5902-4862; Turner, Monica G/0000-0003-1903-2822; 												1051-0761	1939-5582				OCT	2014	24	7					1608	1625		10.1890/13-1851.1							WOS:000342859800005	29210226					
J	Lettow, MC; Brudvig, LA; Bahlai, CA; Landis, DA				Lettow, M. C.; Brudvig, L. A.; Bahlai, C. A.; Landis, D. A.			Oak savanna management strategies and their differential effects on vegetative structure, understory light, and flowering forbs	FOREST ECOLOGY AND MANAGEMENT																Bahlai, Christie/L-5500-2019; Landis, Douglas A./L-7991-2019	Bahlai, Christie/0000-0002-8937-8709; 												0378-1127	1872-7042				OCT 1	2014	329						89	98		10.1016/j.foreco.2014.06.019							WOS:000341474500010						
J	Bernhardt, KG; Oschatz, ML; Laubhann, D; Stallegger, M; Ruscher, S; Surbock, A				Bernhardt, Karl-Georg; Oschatz, Marie-Louise; Laubhann, Daniel; Stallegger, Mathilde; Ruescher, Stefanie; Surboeck, Andreas			Influence of organic farming on the phytodiversity of the soil seedbank and above ground vegetation on organically managed farmland	GESUNDE PFLANZEN																													0367-4223	1439-0345				SEP	2014	66	3					103	109		10.1007/s10343-014-0324-y							WOS:000341497900003						
J	Felder, DL; Thoma, BP; Schmidt, WE; Sauvage, T; Self-Krayesky, SL; Chistoserdov, A; Bracken-Grissom, HD; Fredericq, S				Felder, Darryl L.; Thoma, Brent P.; Schmidt, William E.; Sauvage, Thomas; Self-Krayesky, Sherry L.; Chistoserdov, Andrei; Bracken-Grissom, Heather D.; Fredericq, Suzanne			Seaweeds and Decapod Crustaceans on Gulf Deep Banks after the Macondo Oil Spill	BIOSCIENCE																	Sauvage, Thomas/0000-0002-9169-6925												0006-3568	1525-3244				SEP	2014	64	9					808	819		10.1093/biosci/biu119							WOS:000341124000008						
J	Zwickle, S; Wilson, R; Doohan, D				Zwickle, Sarah; Wilson, Robyn; Doohan, Doug			Identifying the challenges of promoting ecological weed management (EWM) in organic agroecosystems through the lens of behavioral decision making	AGRICULTURE AND HUMAN VALUES																													0889-048X	1572-8366				SEP	2014	31	3					355	370		10.1007/s10460-014-9485-7							WOS:000340533800003						
J	Sarani, M; Oveisi, M; Mashhadi, HR; Alizade, H; Gonzalez-Andujar, JL				Sarani, Mansoor; Oveisi, Mostafa; Mashhadi, Hamid Rahimian; Alizade, Hassan; Luise Gonzalez-Andujar, Jose			Interactions between the tillage system and crop rotation on the crop yield and weed populations under arid conditions	WEED BIOLOGY AND MANAGEMENT																Alizadeh, Hassan/Z-3636-2019; GONZALEZ-ANDUJAR, JOSE L./G-5671-2013	Alizadeh, Hassan/0000-0002-5685-6567; GONZALEZ-ANDUJAR, JOSE L./0000-0003-2356-4098												1444-6162	1445-6664				SEP	2014	14	3					198	208		10.1111/wbm.12047							WOS:000342976400006						
J	Ehlert, KA; Mangold, JM; Engel, RE				Ehlert, K. A.; Mangold, J. M.; Engel, R. E.			Integrating the herbicide imazapic and the fungal pathogen Pyrenophora semeniperda to control Bromus tectorum	WEED RESEARCH																	Ehlert, Krista/0000-0002-6423-8670												0043-1737	1365-3180				AUG	2014	54	4					418	424		10.1111/wre.12089							WOS:000340668400010						
J	Boucher, D; Gauthier, S; Noel, J; Greene, DF; Bergeron, Y				Boucher, Dominique; Gauthier, Sylvie; Noel, Josee; Greene, David F.; Bergeron, Yves			Salvage logging affects early post-fire tree composition in Canadian boreal forest	FOREST ECOLOGY AND MANAGEMENT																Gauthier, Sylvie/J-3923-2019	Gauthier, Sylvie/0000-0001-6720-0195												0378-1127	1872-7042				AUG 1	2014	325						118	127		10.1016/j.foreco.2014.04.002							WOS:000339129600012						
J	Wright, BR; Zuur, AF				Wright, Boyd R.; Zuur, Alain F.			Seedbank dynamics after masting in mulga (Acacia aptaneura): Implications for post-fire regeneration	JOURNAL OF ARID ENVIRONMENTS																													0140-1963	1095-922X				AUG	2014	107						10	17		10.1016/j.jaridenv.2014.03.008							WOS:000336878200002						
J	Aulakh, JS; Enloe, SF; Loewenstein, NJ; Price, AJ; Wehtje, G; Miller, JH				Aulakh, Jatinder S.; Enloe, Stephen F.; Loewenstein, Nancy J.; Price, Andrew J.; Wehtje, Glenn; Miller, James H.			Pushing toward Cogongrass (Imperata cylindrica) Patch Eradication: The Influence of Herbicide Treatment and Application Timing on Cogongrass Rhizome Elimination	INVASIVE PLANT SCIENCE AND MANAGEMENT																													1939-7291	1939-747X				JUL-SEP	2014	7	3					398	407		10.1614/IPSM-D-13-00055.1							WOS:000344911100002						
J	Rinella, MJ; Bellows, SE; Roth, AD				Rinella, Matthew J.; Bellows, Susan E.; Roth, Aaron D.			Aminopyralid Constrains Seed Production of the Invasive Annual Grasses Medusahead and Ventenata	RANGELAND ECOLOGY & MANAGEMENT																													1550-7424	1551-5028				JUL	2014	67	4					406	411		10.2111/REM-D-13-00138.1							WOS:000338912800008						
J	Sosnoskie, LM; Webster, TM; Grey, TL; Culpepper, AS				Sosnoskie, L. M.; Webster, T. M.; Grey, T. L.; Culpepper, A. S.			Severed stems of Amaranthus palmeri are capable of regrowth and seed production in Gossypium hirsutum	ANNALS OF APPLIED BIOLOGY																Webster, Theodore/A-4468-2009	Webster, Theodore/0000-0002-8259-2059												0003-4746	1744-7348				JUL	2014	165	1					147	154		10.1111/aab.12129							WOS:000337665100013						
J	Haile, TA; Shirdiffe, SJ				Haile, Teketel A.; Shirdiffe, Steven J.			Effect of Harvest Timing on Dormancy Induction in Canola Seeds	WEED SCIENCE																													0043-1745	1550-2759				JUL-SEP	2014	62	3					548	554		10.1614/WS-D-13-00178.1							WOS:000340350600014						
J	Splawinski, TB; Greene, DF; Gauthier, S				Splawinski, T. B.; Greene, D. F.; Gauthier, S.			A model of the post-fire recruitment of Picea mariana and Pinus banksiana as a function of salvage timing and intensity	ECOLOGICAL MODELLING																Gauthier, Sylvie/J-3923-2019	Gauthier, Sylvie/0000-0001-6720-0195												0304-3800	1872-7026				JUN 24	2014	282						35	43		10.1016/j.ecolmodel.2014.03.007							WOS:000336113500004						
J	Gwenzi, W; Hinz, C; Bleby, TM; Veneklaas, EJ				Gwenzi, Willis; Hinz, Christoph; Bleby, Timothy M.; Veneklaas, Erik J.			Transpiration and water relations of evergreen shrub species on an artificial landform for mine waste storage versus an adjacent natural site in semi-arid Western Australia	ECOHYDROLOGY																Gwenzi, Willis/AAD-4037-2019; Hinz, Christoph/I-5455-2014; Veneklaas, Erik J/C-8907-2009	Gwenzi, Willis/0000-0003-3149-1052; Hinz, Christoph/0000-0003-0691-7402; Veneklaas, Erik J/0000-0002-7030-4056												1936-0584	1936-0592				JUN	2014	7	3					965	981		10.1002/eco.1422							WOS:000337515300006						
J	Van Vuren, DH				Van Vuren, Dirk H.			Shrub regeneration after removal of feral sheep from Santa Cruz Island, California	CALIFORNIA FISH AND GAME																													0008-1078					SUM	2014	100	3			SI		396	403									WOS:000350699500006						
J	Goodall, JM; Witkowski, ETF				Goodall, J. M.; Witkowski, E. T. F.			Testing the performance of registered herbicides on the control of Campuloclinium macrocephalum (Asteraceae) in South African grasslands	WEED RESEARCH																Goodall, Jeremy/H-8543-2019	Goodall, Jeremy/0000-0001-9655-1816; Witkowski, Edward/0000-0001-5453-1390												0043-1737	1365-3180				JUN	2014	54	3					274	284		10.1111/wre.12071							WOS:000334588600007						
J	Liebman, M; Miller, ZJ; Williams, CL; Westerman, PR; Dixon, PM; Heggenstaller, A; Davis, AS; Menalled, FD; Sundberg, DN				Liebman, M.; Miller, Z. J.; Williams, C. L.; Westerman, P. R.; Dixon, P. M.; Heggenstaller, A.; Davis, A. S.; Menalled, F. D.; Sundberg, D. N.			Fates of Setaria faberi and Abutilon theophrasti seeds in three crop rotation systems	WEED RESEARCH																Dixon, Philip Michael/I-4843-2019	Dixon, Philip Michael/0000-0002-1778-0686; Davis, Adam/0000-0002-7196-1197												0043-1737	1365-3180				JUN	2014	54	3					293	306		10.1111/wre.12069							WOS:000334588600009						
J	Wagner, V; Nelson, CR				Wagner, Viktoria; Nelson, Cara R.			Herbicides Can Negatively Affect Seed Performance in Native Plants	RESTORATION ECOLOGY																Nelson, Cara/AAC-2493-2020	Wagner, Viktoria/0000-0002-2665-9888												1061-2971	1526-100X				MAY	2014	22	3					288	291		10.1111/rec.12089							WOS:000336842500004						
J	Del Fabbro, C; Gusewell, S; Prati, D				Del Fabbro, Corina; Guesewell, Sabine; Prati, Daniel			Allelopathic effects of three plant invaders on germination of native species: a field study	BIOLOGICAL INVASIONS																													1387-3547	1573-1464				MAY	2014	16	5					1035	1042		10.1007/s10530-013-0555-3							WOS:000334177900009						
J	Haile, TA; Gulden, RH; Shirtliffe, SJ				Haile, Teketel A.; Gulden, Robert H.; Shirtliffe, Steven J.			On-farm seed loss does not differ between windrowed and direct-harvested canola	CANADIAN JOURNAL OF PLANT SCIENCE																													0008-4220	1918-1833				MAY	2014	94	4					785	789		10.4141/CJPS2013-344							WOS:000349150900019						
J	Kimberley, A; Blackburn, GA; Whyatt, JD; Smart, SM				Kimberley, Adam; Blackburn, G. Alan; Whyatt, J. Duncan; Smart, Simon M.			Traits of plant communities in fragmented forests: the relative influence of habitat spatial configuration and local abiotic conditions	JOURNAL OF ECOLOGY																smart, simon M/I-6089-2012; Whyatt, J Duncan/D-8123-2014	Whyatt, J Duncan/0000-0001-9329-4367; Kimberley, Adam/0000-0002-0807-9943; smart, simon/0000-0003-2750-7832												0022-0477	1365-2745				MAY	2014	102	3					632	640		10.1111/1365-2745.12222							WOS:000334588300009						
J	Schutte, BJ; Davis, AS				Schutte, Brian J.; Davis, Adam S.			Do Common Waterhemp (Amaranthus rudis) Seedling Emergence Patterns Meet Criteria for Herbicide Resistance Simulation Modeling?	WEED TECHNOLOGY																	Davis, Adam/0000-0002-7196-1197												0890-037X	1550-2740				APR-JUN	2014	28	2					408	417		10.1614/WT-D-13-00139.1							WOS:000336112500015						
J	Harrington, TB				Harrington, Timothy B.			Synthetic Auxin Herbicides Control Germinating Scotch Broom (Cytisus scoparius)	WEED TECHNOLOGY																													0890-037X	1550-2740				APR-JUN	2014	28	2					435	442		10.1614/WT-D-13-00170.1							WOS:000336112500019						
J	Jabbour, R; Gallandt, ER; Le, SZ; Wilson, RS; Doohan, D				Jabbour, Randa; Gallandt, Eric R.; Le, Sarah Zwick; Wilson, Robyn S.; Doohan, Doug			Organic Farmer Knowledge and Perceptions are Associated with On-Farm Weed Seedbank Densities in Northern New England	WEED SCIENCE																													0043-1745	1550-2759				APR-JUN	2014	62	2					338	349		10.1614/WS-D-13-00098.1							WOS:000335363600013						
J	Roberts, DG; Ottewell, KM; Whelan, RJ; Ayre, DJ				Roberts, D. G.; Ottewell, K. M.; Whelan, R. J.; Ayre, D. J.			Is the post-disturbance composition of a plant population determined by selection for outcrossed seedlings or by the composition of the seedbank?	HEREDITY																Ayre, David J/A-8761-2008; Kym, Ottewell/I-9875-2019	Ayre, David J/0000-0002-3124-4417; Kym, Ottewell/0000-0002-4273-3224												0018-067X	1365-2540				APR	2014	112	4					409	414		10.1038/hdy.2013.119							WOS:000334605000007	24281549					
J	Wozniak, A; Soroka, M				Wozniak, A.; Soroka, M.			Effects of a 3-year reduced tillage on the yield and quality of grain and weed infestation of spring triticale (Triticosecale Wittmack)	INTERNATIONAL JOURNAL OF PLANT PRODUCTION																	Wozniak, Andrzej/0000-0002-9845-7003												1735-6814	1735-8043				APR	2014	8	2					231	241									WOS:000332693900004						
J	Daedlow, D; Westerman, PR; Baraibar, B; Rouphael, S; Gerowitt, B				Daedlow, D.; Westerman, P. R.; Baraibar, B.; Rouphael, S.; Gerowitt, B.			Weed seed predation rate in cereals as a function of seed density and patch size, under high predation pressure by rodents	WEED RESEARCH																													0043-1737	1365-3180				APR	2014	54	2					186	195		10.1111/wre.12066							WOS:000332071500009						
J	Werle, R; Sandell, LD; Buhler, DD; Hartzler, RG; Lindquist, JL				Werle, Rodrigo; Sandell, Lowell D.; Buhler, Douglas D.; Hartzler, Robert G.; Lindquist, John L.			Predicting Emergence of 23 Summer Annual Weed Species	WEED SCIENCE																Lindquist, John L/D-8656-2012													0043-1745	1550-2759				APR-JUN	2014	62	2					267	279		10.1614/WS-D-13-00116.1							WOS:000335363600007						
J	Young, FL; Ogg, AG; Alldredge, JR				Young, Frank L.; Ogg, Alex G., Jr.; Alldredge, J. Richard			Postharvest Tillage Reduces Downy Brome (Bromus tectorum L.) Infestations in Winter Wheat	WEED TECHNOLOGY																													0890-037X	1550-2740				APR-JUN	2014	28	2					418	425		10.1614/WT-D-13-00151.1							WOS:000336112500016						
J	Birthisel, SK; Gallandt, ER; Jabbour, R				Birthisel, Sonja K.; Gallandt, Eric R.; Jabbour, Randa			Habitat effects on second-order predation of the seed predator Harpalus rufipes and implications for weed seedbank management	BIOLOGICAL CONTROL																	Gallandt, Eric/0000-0001-6684-6250												1049-9644	1090-2112				MAR	2014	70						65	72		10.1016/j.biocontrol.2013.12.004							WOS:000332397800009						
J	Grech, CJ; McLaren, DA; Lowien, J; McWhirter, L; Butler, KL; Sindel, BM				Grech, C. J.; McLaren, D. A.; Lowien, J.; McWhirter, L.; Butler, K. L.; Sindel, B. M.			Assessment of management options for Chilean needle grass in sheep-grazing systems	GRASS AND FORAGE SCIENCE																butler, kym L/D-5507-2014	butler, kym L/0000-0002-1958-3942												0142-5242	1365-2494				MAR	2014	69	1					119	128		10.1111/gfs.12026							WOS:000329755200010						
J	Fredericq, S; Arakaki, N; Camacho, O; Gabriel, D; Krayesky, D; Self-Krayesky, S; Rees, G; Richards, J; Sauvage, T; Venera-Ponton, D; Schmidt, WE				Fredericq, Suzanne; Arakaki, Natalia; Camacho, Olga; Gabriel, Daniela; Krayesky, David; Self-Krayesky, Sherry; Rees, George; Richards, Joseph; Sauvage, Thomas; Venera-Ponton, Dagoberto; Schmidt, William E.			A Dynamic Approach to the Study of Rhodoliths: a Case Study for the Northwestern Gulf of Mexico	CRYPTOGAMIE ALGOLOGIE																Venera-Ponton, Dagoberto E./AAA-6137-2019; Gabriel, Daniela/L-7869-2013	Venera-Ponton, Dagoberto E./0000-0003-3320-3616; Gabriel, Daniela/0000-0002-0362-6274; Sauvage, Thomas/0000-0002-9169-6925												0181-1568	1776-0984				FEB	2014	35	1					77	98		10.7872/crya.v35.iss1.2014.77							WOS:000338762100007						
J	Schutte, BJ; Tomasek, BJ; Davis, AS; Andersson, L; Benoit, DL; Cirujeda, A; Dekker, J; Forcella, F; Gonzalez-Andujar, JL; Graziani, F; Murdoch, AJ; Neve, P; Rasmussen, IA; Sera, B; Salonen, J; Tei, F; Torresen, KS; Urbano, JM				Schutte, B. J.; Tomasek, B. J.; Davis, A. S.; Andersson, L.; Benoit, D. L.; Cirujeda, A.; Dekker, J.; Forcella, F.; Gonzalez-Andujar, J. L.; Graziani, F.; Murdoch, A. J.; Neve, P.; Rasmussen, I. A.; Sera, B.; Salonen, J.; Tei, F.; Torresen, K. S.; Urbano, J. M.			An investigation to enhance understanding of the stimulation of weed seedling emergence by soil disturbance	WEED RESEARCH																Neve, Paul/P-8726-2015; Sera, Bozena/H-1327-2014; GONZALEZ-ANDUJAR, JOSE L./G-5671-2013; Cirujeda, Alicia/J-1506-2012	Neve, Paul/0000-0002-3136-5286; Sera, Bozena/0000-0001-5275-1015; GONZALEZ-ANDUJAR, JOSE L./0000-0003-2356-4098; Cirujeda, Alicia/0000-0001-9646-8422; Davis, Adam/0000-0002-7196-1197; TEI, Francesco/0000-0003-0857-9662; Andersson, Lars/0000-0002-1676-5361												0043-1737	1365-3180				FEB	2014	54	1					1	12		10.1111/wre.12054							WOS:000329312400001						
J	Gomez, R; Liebman, M; Munkvold, G				Gomez, R.; Liebman, M.; Munkvold, G.			Weed seed decay in conventional and diversified cropping systems	WEED RESEARCH																													0043-1737	1365-3180				FEB	2014	54	1					13	25		10.1111/wre.12052							WOS:000329312400002						
J	Reynolds, CJ; Long, RL; Flematti, GR; Cherry, H; Turner, SR				Reynolds, C. J.; Long, R. L.; Flematti, G. R.; Cherry, H.; Turner, S. R.			Karrikins promote germination of physiologically dormant seeds of Chrysanthemoides monilifera ssp monilifera (boneseed)	WEED RESEARCH																	Flematti, Gavin/0000-0003-2545-6939												0043-1737	1365-3180				FEB	2014	54	1					48	57		10.1111/wre.12051							WOS:000329312400005						
J	Blanco, AM; Chantre, GR; Lodovichi, MV; Bandoni, JA; Lopez, RL; Vigna, MR; Gigon, R; Sabbatini, MR				Blanco, Anibal M.; Chantre, Guillermo R.; Lodovichi, Mariela V.; Alberto Bandoni, J.; Lopez, Ricardo L.; Vigna, Mario R.; Gigon, Ramon; Sabbatini, Mario R.			Modeling seed dormancy release and germination for predicting Avena fatua L. field emergence: A genetic algorithm approach	ECOLOGICAL MODELLING																	Chantre, Guillermo/0000-0002-4424-0204												0304-3800	1872-7026				JAN 24	2014	272						293	300		10.1016/j.ecolmodel.2013.10.013							WOS:000328710900027						
J	Tozer, KN; Chapman, DF; Bell, NL; Crush, JR; King, WM; Rennie, GM; Wilson, DJ; Mapp, NR; Rossi, L; Aalders, LT; Cameron, CA				Tozer, K. N.; Chapman, D. F.; Bell, N. L.; Crush, J. R.; King, W. M.; Rennie, G. M.; Wilson, D. J.; Mapp, N. R.; Rossi, L.; Aalders, L. T.; Cameron, C. A.			Botanical survey of perennial ryegrass-based dairy pastures in three regions of New Zealand: implications for ryegrass persistence	NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH																Bell, Nigel/D-6827-2011	Bell, Nigel/0000-0003-0770-3254; Aalders, Lee/0000-0002-6263-5285; King, Warren/0000-0002-3571-5618												0028-8233	1175-8775				JAN 2	2014	57	1					14	29		10.1080/00288233.2013.863785							WOS:000332197100002						
